"","agency_name","position_title","attorney","employer","start_date","end_date","title","notes"
"104",NA,NA,"John Gore",NA,NA,NA,NA,NA
"105",NA,NA,"Eric Grant",NA,NA,NA,NA,NA
"106",NA,NA,"Travis Greaves",NA,NA,NA,NA,NA
"107",NA,NA,"Alan Hanson",NA,NA,NA,NA,NA
"108",NA,NA,"Liam Hardy",NA,NA,NA,NA,NA
"109",NA,NA,"Sarah Harris",NA,NA,NA,NA,NA
"110",NA,NA,"Robert K. Hur",NA,NA,NA,NA,NA
"111",NA,NA,"Donald Kempf",NA,NA,NA,NA,NA
"112",NA,NA,"David Lasseter",NA,NA,NA,NA,NA
"113",NA,NA,"Donald R. Livingston",NA,NA,NA,NA,NA
"114",NA,NA,"Eric MacArthur",NA,NA,NA,NA,NA
"115",NA,NA,"Trevor McFadden",NA,NA,NA,NA,NA
"116",NA,NA,"Matthew Miner",NA,NA,NA,NA,NA
"117",NA,NA,"Hashim Mooppan",NA,NA,NA,NA,NA
"118",NA,NA,"David M. Morrell",NA,NA,NA,NA,NA
"119",NA,NA,"Claire Murray",NA,NA,NA,NA,NA
"120",NA,NA,"Brian Murray",NA,NA,NA,NA,NA
"121",NA,NA,"Ryan Newman",NA,NA,NA,NA,NA
"122",NA,NA,"Bernard Nigro",NA,NA,NA,NA,NA
"123",NA,NA,"Brian Pandya",NA,NA,NA,NA,NA
"124",NA,NA,"Jessie Panuccio",NA,NA,NA,NA,NA
"125",NA,NA,"Andrew Peterson",NA,NA,NA,NA,NA
"126",NA,NA,"Chad Readler",NA,NA,NA,NA,NA
"127",NA,NA,"Brett Shumate",NA,NA,NA,NA,NA
"128",NA,NA,"Scott Stewart",NA,NA,NA,NA,NA
"129",NA,NA,"Brett Talley",NA,NA,NA,NA,NA
"130",NA,NA,"George Terwilliger",NA,NA,NA,NA,NA
"131",NA,NA,"Rene Augustine",NA,NA,NA,NA,NA
"132",NA,NA,"Jorge Aguinaga",NA,NA,NA,NA,NA
"133",NA,NA,"Kelli Andrews",NA,NA,NA,NA,NA
"134",NA,NA,"Omeed Assefi",NA,NA,NA,NA,NA
"135",NA,NA,"Jennifer Dickey",NA,NA,NA,NA,NA
"136",NA,NA,"Gary Barnett",NA,NA,NA,NA,NA
"137",NA,NA,"Spencer Bassett",NA,NA,NA,NA,NA
"138",NA,NA,"Jonathan Berry",NA,NA,NA,NA,NA
"139",NA,NA,"Jordan Von Borkern",NA,NA,NA,NA,NA
"140",NA,NA,"Zachary Bolitho",NA,NA,NA,NA,NA
"141",NA,NA,"Guy F. Burnett",NA,NA,NA,NA,NA
"142",NA,NA,"James M. Burnham",NA,NA,NA,NA,NA
"143",NA,NA,"Christopher J. Constantini",NA,NA,NA,NA,NA
"144",NA,NA,"Michael Costigan",NA,NA,NA,NA,NA
"145",NA,NA,"Katherine Crytzer",NA,NA,NA,NA,NA
"146",NA,NA,"Danielle Cutrona",NA,NA,NA,NA,NA
"147",NA,NA,"Carlton J. Davis",NA,NA,NA,NA,NA
"148",NA,NA,"Joseph Edlow",NA,NA,NA,NA,NA
"149",NA,NA,"Brittian Featherston",NA,NA,NA,NA,NA
"150",NA,NA,"Lindsey A. Freeman",NA,NA,NA,NA,NA
"151",NA,NA,"Joshua Gardner",NA,NA,NA,NA,NA
"152",NA,NA,"Aram A. Gavoor",NA,NA,NA,NA,NA
"153",NA,NA,"Matthew Glover",NA,NA,NA,NA,NA
"154",NA,NA,"Lauren Goldschmidt",NA,NA,NA,NA,NA
"155",NA,NA,"Christopher K. Grieco",NA,NA,NA,NA,NA
"156",NA,NA,"Gene P. Hamilton",NA,NA,NA,NA,NA
"157",NA,NA,"Mary Blanche N. Hankey",NA,NA,NA,NA,NA
"158",NA,NA,"Kenneth Harris",NA,NA,NA,NA,NA
"159",NA,NA,"Jessica Hart",NA,NA,NA,NA,NA
"160",NA,NA,"Tara Helfman",NA,NA,NA,NA,NA
"161",NA,NA,"Annie Hsiao",NA,NA,NA,NA,NA
"162",NA,NA,"Andrew Hudson",NA,NA,NA,NA,NA
"163",NA,NA,"Ethan B. Kanter",NA,NA,NA,NA,NA
"164",NA,NA,"William Levi",NA,NA,NA,NA,NA
"165",NA,NA,"Jennifer B. Lichter",NA,NA,NA,NA,NA
"166",NA,NA,"Daniel Loveland",NA,NA,NA,NA,NA
"167",NA,NA,"Gerald Lucas",NA,NA,NA,NA,NA
"168",NA,NA,"Amelia Medina",NA,NA,NA,NA,NA
"169",NA,NA,"Brandon Middleton",NA,NA,NA,NA,NA
"170",NA,NA,"Chad Mizelle",NA,NA,NA,NA,NA
"171",NA,NA,"John S. Moran",NA,NA,NA,NA,NA
"172",NA,NA,"Brian Morrissey",NA,NA,NA,NA,NA
"173",NA,NA,"Joseph Mott",NA,NA,NA,NA,NA
"174",NA,NA,"Michael Murray",NA,NA,NA,NA,NA
"175",NA,NA,"Patricia M. Nation",NA,NA,NA,NA,NA
"176",NA,NA,"Sam G. Nazzaro",NA,NA,NA,NA,NA
"177",NA,NA,"Taylor Owings",NA,NA,NA,NA,NA
"178",NA,NA,"David Palmer",NA,NA,NA,NA,NA
"179",NA,NA,"Rachel Parker-Bissex",NA,NA,NA,NA,NA
"180",NA,NA,"James Percival",NA,NA,NA,NA,NA
"181",NA,NA,"Lindsay Pickell",NA,NA,NA,NA,NA
"182",NA,NA,"Bethany Pickett",NA,NA,NA,NA,NA
"183",NA,NA,"Samuel Ramer",NA,NA,NA,NA,NA
"184",NA,NA,"William Rinner",NA,NA,NA,NA,NA
"185",NA,NA,"Reed Rubinstein",NA,NA,NA,NA,NA
"186",NA,NA,"David Rybicki",NA,NA,NA,NA,NA
"187",NA,NA,"Julia A. Schiller",NA,NA,NA,NA,NA
"188",NA,NA,"Matthew Sheehan",NA,NA,NA,NA,NA
"189",NA,NA,"Corinne Snow",NA,NA,NA,NA,NA
"190",NA,NA,"James Swanson",NA,NA,NA,NA,NA
"191",NA,NA,"Lindsey De La Torre",NA,NA,NA,NA,NA
"192",NA,NA,"Rachael Tucker",NA,NA,NA,NA,NA
"193",NA,NA,"Jessica Vu",NA,NA,NA,NA,NA
"194",NA,NA,"Matthew G. Whitaker",NA,NA,NA,NA,NA
"195",NA,NA,"Danielle Douglas",NA,NA,NA,NA,NA
"196",NA,NA,"Dorothy Williams",NA,NA,NA,NA,NA
"197",NA,NA,"Sarah Isgur",NA,NA,NA,NA,NA
"198",NA,NA,"Philip Keith",NA,NA,NA,NA,NA
"199",NA,NA,"Krystle Mitchell",NA,NA,NA,NA,NA
"200",NA,NA,"Paul Moore",NA,NA,NA,NA,NA
"201",NA,NA,"Ian Prior",NA,NA,NA,NA,NA
"202",NA,NA,"Guice Slawson",NA,NA,NA,NA,NA
"203",NA,NA,"Lathika Mary Thomas",NA,NA,NA,NA,NA
"204",NA,NA,"Kerri Kupec",NA,NA,NA,NA,NA
"205",NA,NA,"Tracy Toulou",NA,NA,NA,NA,NA
"206",NA,NA,"Gerri Ratliff",NA,NA,NA,NA,NA
"207",NA,NA,"Rosalind Burns",NA,NA,NA,NA,NA
"208",NA,NA,"Jeffrey R. Ragsdale",NA,NA,NA,NA,NA
"209",NA,NA,"Lee J. Lofthus",NA,NA,NA,NA,NA
"210",NA,NA,"Sylvia M. Becker",NA,NA,NA,NA,NA
"211",NA,NA,"Bobak Talebian",NA,NA,NA,NA,NA
"212",NA,NA,"Clifford J. White",NA,NA,NA,NA,NA
"213",NA,NA,"Timothy J. Shea",NA,NA,NA,NA,NA
"214",NA,NA,"Stacy Ludwig",NA,NA,NA,NA,NA
"215",NA,NA,"Patricia K. Cushwa",NA,NA,NA,NA,NA
"216",NA,NA,"Adam W. Cohen",NA,NA,NA,NA,NA
"217","Transportation","Special Assistant Scheduling and Advance","Geoffrey Clark Smith","Republican National Committee",2017,NA,"Field Director",NA
"218","Transportation","Special Assistant Scheduling and Advance","Geoffrey Clark Smith","Parrish for Senate",2017,NA,"Political Director",NA
"219","Transportation","Special Assistant Scheduling and Advance","Geoffrey Clark Smith","Weber-Merritt, A Public Affairs Firm",2017,NA,"Field Representative",NA
"220","Transportation","White House Liaison","Douglas Simon","Sagac Public Affairs",2017,NA,"Vice President of Strategic Initiatives",NA
"221","Transportation","Federal Transit Administrator","Thelma Drake","City of Norfolk, VA",2018,NA,"I am an Assistant Director of Public Works and have headed the Transportation Division since Sept. 2016.  I am temporarily serving as both the Assistant Public Works director and the Government Relations/Legislative Liaison.    In 2015, I was hired by the City of Norfolk in a part time role as a Strategic Transportation Planner.",NA
"222","Transportation","Federal Transit Administrator","Thelma Drake","Virginia Hospital and Healthcare Association",2018,NA,"I was the outreach person for the Hampton Roads region to coordinate with Hospital members, the community and our VA legislators",NA
"223","Transportation","Federal Transit Administrator","Thelma Drake","City of Norfolk, VA",2018,NA,"Assistant Director Public Works - Transportation",NA
"224","Transportation","Federal Transit Administrator","Thelma Drake","City of Norfolk, VA",2018,NA,"Strategic Transportation Planner",NA
"225","Transportation","Federal Transit Administrator","Thelma Drake","Virginia Hospital and Healthcare Association",2018,NA,"Regional Director for Community and Member Outreach",NA
"226","Transportation","Federal Transit Administrator","Thelma Drake","The Healing Place",2018,NA,"Board Member",NA
"227","Transportation","Federal Transit Administrator","Thelma Drake","The Hampton Roads Home Team",2018,NA,"Vice President",NA
"228","Transportation","Assistant Secretary","George Bryan Slater","Freedom Partners Shared Services",2017,2017,"",NA
"229","Transportation","Assistant Secretary","George Bryan Slater","Freedom Partners Shared Services",2017,2017,"Director of Operations",NA
"230","Energy","Advance Lead","Auria McAlicher","FCA Technologies",2017,NA,"Sole Proprietorship",NA
"231","Energy","Advance Lead","Auria McAlicher","Event Strategies, Inc.",2017,NA,"Consulting Technical Director",NA
"232","Energy","Advance Lead","Auria McAlicher","Donald J. Trump for President, Inc.",2017,NA,"Director of Production",NA
"233","Energy","Advance Lead","Auria McAlicher","FCA Technologies",2017,NA,"sole proprietor",NA
"234","Transportation","Special Assistant","Megan P. Sweeney","Republican Party of Pennsylvania",2017,NA,"",NA
"235","Transportation","Special Assistant","Megan P. Sweeney","Republican Party of Pennsylvania",2017,NA,"Communication s Director",NA
"236","Transportation","Director of Communications","Sharon Worthy","Jamestown-Yorktown Foundation, 2019 Commemoration",2017,NA,"Provided communications and marketing tasks for the 2019 Commemoration that highlights five pivotal moments in American History, occurring in 1619.",NA
"237","Transportation","Director of Communications","Sharon Worthy","Jamestown-Yorktown Foundation, 2019 Commemoration",2017,NA,"Communication s and Marketing",NA
"238","Transportation","Deputy Administrator","Kimberly Jane Williams","Maryland Department of Transportation (MDOT)",2017,NA,"Director of Washington Area Transit Office",NA
"239","Transportation","Deputy Administrator","Kimberly Jane Williams","Maryland Department of Transportation (MDOT)",2017,NA,"Director, Washington Area Transit Office",NA
"240","Agriculture","Confidential Assistant","Campbell Eileen Shuford","BGR Group",2017,NA,"As an Executive Assistant for 3 Principals, I managed calendars, travel, planned events (fundraisers and meet & greets). I did research for business development opportunities, for clients, and created client- facing materials. I assisted with client projects and initiatives.",NA
"241","Agriculture","Confidential Assistant","Campbell Eileen Shuford","POLITICO",2017,NA,"As a Business Development Associate I targeted and engaged with potential clients for POLITICO's policy news service. Working with one other associate, we exceeded sales goals every quarter.",NA
"242","Agriculture","Confidential Assistant","Campbell Eileen Shuford","BGR Group",2017,NA,"Executive Assistant",NA
"243","Agriculture","Confidential Assistant","Campbell Eileen Shuford","POLITICO",2017,NA,"Business Development Associate",NA
"244","Agriculture","Confidential Assistant","Campbell Eileen Shuford","Barrel",2017,NA,"Server",NA
"245","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","Hunton & Williams LLP",2017,NA,"Provide legal advice and other services to clients.",NA
"246","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","Agrium Inc. & NU-West Industries, Inc.",2017,NA,"Provide legal advice and services.",NA
"247","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","Chevron Corporation",2017,NA,"Provide legal advice and services.",NA
"248","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","George R. Jarkesy, Jr.",2017,NA,"Provide legal advice and services.",NA
"249","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","LG&E and KU Energy, LLC",2017,NA,"Provide legal advice and services.",NA
"250","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","National Stone, Sand & Gravel Association",2017,NA,"Provide legal advice and services.",NA
"251","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","Sunflower Electric Power Corp.",2017,NA,"Provide legal services and services.",NA
"252","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","Utility Air Regulatory Group",2017,NA,"Provide legal advice and services.",NA
"253","Environmental Protection Agency","Senior Counsel to the Assistant Administrator for Air and Radiation","David Harlow","Hunton & Williams LLP",2017,NA,"Counsel",NA
"254","Environmental Protection Agency","Senior Advisor to the Administrator","Susan Bodine","Barnes & Thornburg LLP",2017,NA,"Partner at this law firm.",NA
"255","Environmental Protection Agency","Senior Advisor to the Administrator","Susan Bodine","Barnes & Thornburg LLP",2017,NA,"Partner",NA
"256","Environmental Protection Agency","Executive Assistant to the Administrator","Dawn Michelle Hale","Oklahoma City University",2017,NA,"Oversaw running the President's Office and served as primary point of contact for the board of trustees.",NA
"257","Environmental Protection Agency","Executive Assistant to the Administrator","Dawn Michelle Hale","State of Oklahoma, Office of the Attorney General",2017,NA,"Oversaw the scheduling of appointments, meetings, and speeches for the Attorney General of Oklahoma.",NA
"258","Environmental Protection Agency","Executive Assistant to the Administrator","Dawn Michelle Hale","Choctaw Area Chamber of Commerce",2017,NA,"Assistant -- Part time",NA
"259","Environmental Protection Agency","Executive Assistant to the Administrator","Dawn Michelle Hale","LASSO Corp.",2017,NA,"Administrative Assistant",NA
"260","Environmental Protection Agency","Executive Assistant to the Administrator","Dawn Michelle Hale","Oklahoma Attorney General",2017,NA,"Executive Assistant to the Attorney General",NA
"261","Environmental Protection Agency","Executive Assistant to the Administrator","Dawn Michelle Hale","Oklahoma City University",2017,NA,"Director of Executive Relations & Board Professional",NA
"262","Transportation","Deputy Administrator","Richard Anthony Balzano","",2017,NA,"",NA
"263","Agriculture","White House Liaison","Brenton Coy McNeely","Oklahoma State Legislature",2017,2018,"",NA
"264","Agriculture","White House Liaison","Brenton Coy McNeely","Oklahoma State Legislature",2017,2018,"Legislative Assistant",NA
"265","Transportation","Special Assistant for Scheduling and Advance","Gabrielle Rose Basile","Fierce Government Relations",2017,2018,"Executive Assistant",NA
"266","Transportation","Deputy Assistant Secretary for Intergovernmental Affairs","Anthony Bedell","Red Five Strategies",2017,NA,"President",NA
"267","Agriculture","Special Assistant","James \Jim\"" L. Renne""","James Renne, Esq., P.A.",2017,NA,"President",NA
"268","Agriculture","Special Assistant","James \Jim\"" L. Renne""","Velocity Communications",2017,NA,"Board Member",NA
"269","Transportation","Chief Counsel","Douglas R. Burnett","Squire Patton Boggs (US) LLP",2017,NA,"Law firm Partner",NA
"270","Transportation","Chief Counsel","Douglas R. Burnett","St. Croix Renaissance Group LLC",2017,NA,"Legal services",NA
"271","Transportation","Chief Counsel","Douglas R. Burnett","Ineos USA LLC",2017,NA,"Legal services",NA
"272","Transportation","Chief Counsel","Douglas R. Burnett","Robert Geltzer",2017,NA,"Legal Services",NA
"273","Transportation","Chief Counsel","Douglas R. Burnett","International Cable Protection Committee Ltd.",2017,NA,"Legal services",NA
"274","Transportation","Chief Counsel","Douglas R. Burnett","Alcatel Lucent Submarine Networks",2017,NA,"Legal services",NA
"275","Transportation","Chief Counsel","Douglas R. Burnett","Olin Corporation",2017,NA,"Legal services",NA
"276","Transportation","Chief Counsel","Douglas R. Burnett","Tata Communications Bermuda",2017,NA,"Legal Services",NA
"277","Transportation","Chief Counsel","Douglas R. Burnett","Siderar S.A.I.C.",2017,NA,"Legal Services",NA
"278","Transportation","Chief Counsel","Douglas R. Burnett","Tenaris Group",2017,NA,"Legal services",NA
"279","Transportation","Chief Counsel","Douglas R. Burnett","Credit Suisse of Brazil",2017,NA,"Legal services",NA
"280","Transportation","Chief Counsel","Douglas R. Burnett","CB Marine",2017,NA,"Legal services",NA
"281","Transportation","Chief Counsel","Douglas R. Burnett","Kingdom of Saudi Arabia",2017,NA,"Legal services",NA
"282","Transportation","Chief Counsel","Douglas R. Burnett","Institute for China America Studies",2017,NA,"Legal services",NA
"283","Transportation","Chief Counsel","Douglas R. Burnett","Ecology & Environment Inc.",2017,NA,"Legal services",NA
"284","Transportation","Chief Counsel","Douglas R. Burnett","CTI Group Inc.",2017,NA,"Legal services",NA
"285","Transportation","Chief Counsel","Douglas R. Burnett","Zim Rotterdam Container Ship",2017,NA,"Legal services",NA
"286","Transportation","Chief Counsel","Douglas R. Burnett","Development at Ancoates & New Islington",2017,NA,"Legal services",NA
"287","Transportation","Chief Counsel","Douglas R. Burnett","NTT Communications Corp",2017,NA,"Legal services",NA
"288","Transportation","Chief Counsel","Douglas R. Burnett","Global Marine Systems Ltd",2017,NA,"Legal services",NA
"289","Transportation","Chief Counsel","Douglas R. Burnett","Columbus Networks USA Inc.",2017,NA,"Legal services",NA
"290","Transportation","Chief Counsel","Douglas R. Burnett","Enerflex Process PTY Ltd.",2017,NA,"Legal services",NA
"291","Transportation","Chief Counsel","Douglas R. Burnett","Bradesco Seguros S.A.",2017,NA,"Legal services",NA
"292","Transportation","Chief Counsel","Douglas R. Burnett","Seafibre Networks Ltd.",2017,NA,"Legal services",NA
"293","Transportation","Chief Counsel","Douglas R. Burnett","Mereced Capital Inc.",2017,NA,"Legal services",NA
"294","Transportation","Chief Counsel","Douglas R. Burnett","Shwe Pyi Tagon",2017,NA,"Legal services",NA
"295","Transportation","Chief Counsel","Douglas R. Burnett","Telxius (Telefonica S.A.)",2017,NA,"Legal services",NA
"296","Transportation","Chief Counsel","Douglas R. Burnett","Ocean Specialists, Inc.",2017,NA,"Legal services",NA
"297","Transportation","Chief Counsel","Douglas R. Burnett","Embraer S.A.",2017,NA,"Legal services",NA
"298","Transportation","Chief Counsel","Douglas R. Burnett","Bulk Fleet Chartering LLC",2017,NA,"Legal services",NA
"299","Transportation","Chief Counsel","Douglas R. Burnett","Squire Patton Boggs (US) LLP",2017,NA,"Partner",NA
"300","Transportation","Chief Counsel","Douglas R. Burnett","AT&T Inc.",2017,NA,"Legal services",NA
"301","Housing and Urban Development","Director of Advance","Benjamin DeMarzo","Chris Christie for President, Inc.",2017,NA,"Deputy State Director",NA
"302","Housing and Urban Development","Director of Advance","Benjamin DeMarzo","Office of the Governor, State of New Jersey",2017,NA,"Director of Programming and Planning",NA
"303","Environmental Protection Agency","Special Advisor for Public Affairs","James Hewitt","Dezenhall Resources, Ltd",2017,NA,"Senior Director for crisis communications firm",NA
