id,name,slug,ap_name
"70","Office of Management and Budget","office-of-management-and-budget","Office of Management and Budget"
"76","Veterans Affairs","veterans-affairs","Veterans Affairs"
"74","Air Force","air-force","Air Force"
"61","Office of the Vice President","office-of-the-vice-president","Office of the Vice President"
"82","Housing and Urban Development","housing-and-urban-development","Housing and Urban Development"
"79","Small Business Administration","small-business-administration","Small Business Administration"
"78","Army","army","Army"
"21","European Bank for Reconstruction and Development","european-bank-for-reconstruction-and-development","European Bank for Reconstruction and Development"
"39","White House Office","white-house-office","White House Office"
"83","National Science Foundation","national-science-foundation","National Science Foundation"
"85","Federal Maritime Commission","federal-maritime-commission","Federal Maritime Commission"
"36","Transportation","transportation","Transportation Department"
"57","Management and Budget","management-and-budget","Office of Management and Budget"
"71","Office of the Director of National Intelligence","office-of-the-director-of-national-intelligence","Office of the Director of National Intelligence"
"40","National Endowment for the Arts","national-endowment-for-the-arts","National Endowment for the Arts"
"10","Office of the Special Counsel","office-of-the-special-counsel","Office of the Special Counsel"
"56","Commodity Futures Trading Commission","commodity-futures-trading-commission","Commodity Futures Trading Commission"
"16","Defense","defense","Department of Defense"
"75","Energy","energy","Department of Energy"
"67","Environmental Protection Agency","environmental-protection-agency","EPA"
"65","Federal Energy Regulatory Commission","federal-energy-regulatory-commission","Federal Energy Regulatory Commission"
"30","Federal Mediation and Conciliation Service","federal-mediation-and-conciliation-service","Federal Mediation and Conciliation Service"
"43","Federal Mine Safety and Health Review Commission","federal-mine-safety-and-health-review-commission","Federal Mine Safety and Health Review Commission"
"80","General Services Administration","general-services-administration","General Services Administration"
"6","Health and Human Services","health-and-human-services","Department of Health and Human Services"
"81","Nuclear Regulatory Commission","nuclear-regulatory-commission","Nuclear Regulatory Commission"
"84","Office of National Drug Control Policy","office-of-national-drug-control-policy","Office of National Drug Control Policy"
"64","Overseas Private Investment Corporation","overseas-private-investment-corporation","Overseas Private Investment Corporation"
"73","Selective Service System","selective-service-system","Selective Service System"
"69","Treasury","treasury","Treasury"
"12","National Credit Union Administration","national-credit-union-administration","National Credit Union Administration"
"48","Merit Systems Protection Board","merit-systems-protection-board","Merit Systems Protection Board"
"1","Federal Trade Comission","federal-trade-comission","Federal Trade Comission"
"63","Broadcasting Board of Governors","broadcasting-board-of-governors","Broadcasting Board of Governors"
"77","Consumer Product Safety Commission","consumer-product-safety-commission","Consumer Product Safety Commission"
