id,agency_name,name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,financial_disclosure_url,ethics_waiver_url,image_url,reason_for_missing_report,agency_id,slug,has_lobbyists,taskforce_member,taskforce_title,taskforce_agency,agency_slug,senate_lobbying_confirmation,last_year_lobbied,senate_lobbying_url,linkedin_url,outside_bio,bio_source,bio_url,sge,last_name,awaiting_senate_confirmation,nomination_appointment_failed,government_transfer,propublica_bio,resume_document_url,new_financial_disclosure_addition
"72","Environmental Protection Agency","Aaron Ringel","Deputy Associate Administrator for Congressional and Intergovernmental Relations","","","$119,489","2017-06-04","2019-03-01","https://www.documentcloud.org/documents/4388468-Aaron-Ringel-Financial-Disclosure.html","","","","67","aaron-ringel","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/aaronringel/","In 2009 Aaron Ringel ran as the Republican candidate for the Virginia's House of Delegates in the 48th District which encompasses much of Arlington County. Running in a Democrat stronghold, Aaron successfully forced a well entrenched 6 term incumbent to defend a seat that had gone uncontested during the previous 3 election cycles. Proving that an aggressive urban Republican candidate can shift support in a highly Democrat district, Aaron received more votes than any previous Republican candidate to run in the 48th District and was the only Republican challenger endorsed by the Washington Post over a Democrat incumbent. Aaron attended the University of Kansas (KU) were he completed a double-major in Political Science and International Affairs, graduating in 2004. In 2001, while attending KU, Aaron put his belief in patriotism to work by joining the United States Marine Corps. As a Marine, he trained as a field radio operator with the 24th Marine Regiment. After graduating college, Aaron served six years with the United States Marine Corp Reserves to include an active-duty tour in Iraq where he served in the Al-Anabar province as an Arabic linguist with the 2ND Marine Division. Following his tour in Iraq, Aaron returned to Virginia where he began his work on Capitol Hill, specializing in the issues of energy, environment, defense, veteran’s affairs and education. Forging bipartisan coalitions in a politically divided congress, Aaron effectively worked with both Democrats and Republicans to advance numerous pieces of legislation. In 2005, while also working full-time, Aaron enrolled in a graduate degree program at American University in Washington, D.C. He used the coalition-building and bipartisan cooperation experience he had gained on Capitol Hill to bring a unique perspective to his studies. In 2008, Aaron graduated from American University with Master’s Degree in U.S. Foreign Policy. He currently resides in Arlington, Virginia where he works as a Congressional Analyst for Dynetics Inc and is an active member of the Arlington Ridge Civic Association, VFW Post 3150, and the Committee for a Better Arlington.","The Leadership Institute","https://www.leadershipinstitute.org/training/contact.cfm?FacultyID=477755","","Ringel","","","State","","",""
"1159","Administrative Conference of the U.S.","Jonathan F. Mitchell","Chairman","","","","","","https://www.documentcloud.org/documents/4388347-Jonathan-F-Mitchell-Financial-Disclosure.html","","","","8","jonathan-f-mitchell","","","","","administrative-conference-of-the-u-s","","","","","","","","","Mitchell","","true","","","",""
"1947","Treasury","Alden Randolph Wood","Deputy Chief of Staff","","","","2017-06-28","2018-12-10","https://www.documentcloud.org/documents/6419803-Alden-Randolph-Wood-Financial-Disclosure.html","","","","69","alden-randolph-wood","","","","","treasury","","","","","","","","","Wood","","","","","",""
"1945","Transportation","Andrew L. Fink","Special Assistant for Scheduling and Advance","","","","2017-08-20","2018-05-11","https://www.documentcloud.org/documents/6419813-Andrew-L-Fink-Financial-Disclosure.html","","","","36","andrew-l-fink","","","","","transportation","","","","https://www.linkedin.com/in/andrew-fink-9b815297/","","","","","Fink","","","Homeland Security","","",""
"24","Agriculture","Rachel Helen Pick","Confidential Assistant","Confidential Assistant, Office of the Secretary","","$79,720","2017-04-03","","https://www.documentcloud.org/documents/4345149-Pick-Rachel.html","","","","5","rachel-helen-pick","","","","","agriculture","","","","https://www.linkedin.com/in/rachel-pick-00b32625/","A self-described “farm girl from Iowa,” serves as the Special Assistant to the Secretary. Her professional background includes extensive executive and administrative assistant experience in the office of U.S. Senator Chuck Grassley and in the Senate Sergeant-at-Arms office.","Department of Agriculture via Hagstrom Report","http://www.hagstromreport.com/assets/2017/2017_0510_USDA-StaffMemo.pdf","","Pick","","","","","https://www.documentcloud.org/documents/4824417-Rachel-Helen-Pick-Resume.html",""
"20","White House Office","Kristi Boswell","Policy Advisor","","","$165,000","","","https://www.documentcloud.org/documents/6419481-Kristi-J-Boswell-Financial-Disclosure.html","","","","39","kristi-boswell-white-house-office","","","","","white-house-office","","","","","","","","","Boswell","","","","","https://www.documentcloud.org/documents/4824476-Kristi-Boswell-Resume.html",""
"1943","Transportation","James Wiley Deck","Director of Governmental Affairs","","","","2017-07-09","","https://www.documentcloud.org/documents/6419812-James-Wiley-Deck-Financial-Disclosure.html","","","","36","james-wiley-deck","","","","","transportation","","","","","","","","","Deck","","","","","",""
"1290","Office of the Special Counsel","Henry Kerner","Special Counsel","","","","2017-10-16","","https://www.documentcloud.org/documents/4388140-Henry-Kerner-Financial-Disclosure.html","","","","10","henry-kerner","","","","","office-of-the-special-counsel","","","","","","","","","Kerner","","","","","https://www.documentcloud.org/documents/4824457-Henry-Kerner-Resume.html",""
"1948","Treasury","Andrew Tyler Newton","Deputy Assistant Secretary for Legislative Affairs (Appropriations and Management)","","","","2017-05-01","2018-04-21","https://www.documentcloud.org/documents/6419798-Andrew-Tyler-Newton-Financial-Disclosure.html","","","","69","andrew-tyler-newton","","","","","treasury","","","","","","","","","Newton","","","","","",""
"1949","Treasury","Austin Whaley Bramwell","Senior Advisor","","","","2017-06-26","2018-01-27","https://www.documentcloud.org/documents/6419799-Austin-Whaley-Bramwell-Financial-Disclosure.html","","","","69","austin-whaley-bramwell","","","","","treasury","","","","","","","","","Bramwell","","","","","",""
"1950","Treasury","Bimal Patel","Deputy Assistant Secretary, Financial Stability Oversight Council","","","","2017-05-01","","https://www.documentcloud.org/documents/6419814-Bimal-Patel-Financial-Disclosure.html","","","","69","bimal-patel","","","","","treasury","","","","","","","","","Patel","","","","","",""
"1307","National Labor Relations Board","William J. Emanuel","Board Member","","","","2017-09-25","","https://www.documentcloud.org/documents/4388119-William-J-Emanuel-Financial-Disclosure.html","","","","29","william-j-emanuel","","","","","national-labor-relations-board","","","","","","","","","Emanuel","","","","","",""
"1287","National Aeronautics and Space Administration","James F. Bridenstine","Administrator","","","","2018-04-23","","https://www.documentcloud.org/documents/4388094-James-Bridenstine-Financial-Disclosure.html","","","","62","james-f-bridenstine","","","","","national-aeronautics-and-space-administration","","","","","","","","","Bridenstine","","","Agriculture","","",""
"1302","State","Susan A. Thornton","Assistant Secretary for East Asian and Pacific Affairs","","","","","","https://www.documentcloud.org/documents/4388215-Susan-A-Thornton-Financial-Disclosure.html","","","","14","susan-a-thornton","","","","","state","","","","","","","","","Thornton","","true","","","",""
"22","Agriculture","Nicholas \"Nick\" Matteo Westcott","Confidential Assistant","Staff Assistant, Natural Resources and Environment","","$54,972","2017-01-30","","https://www.documentcloud.org/documents/4345160-Westcott-Nicholas.html","","","","5","nicholas-nick-matteo-westcott","","","","","agriculture","","","","","","","","","Westcott","","","","","https://www.documentcloud.org/documents/4824402-Nicholas-Nick-Matteo-Westcott-Resume.html",""
"1946","Homeland Security","Andrew L. Fink","Briefing Book Coordinator","Advisor to the Executive Secretary","","","2018-05-12","","","","","","66","andrew-l-fink-homeland-security","","","","","homeland-security","","","","","","","","","Fink","","","","","",""
"3700","National Archives and Records Administration","Dawn Hammatt","Director, Dwight D Eisenhower Library","","","$130,688.00","2017-05-30","","","","","","7","dawn-hammatt","","","","","national-archives-and-records-administration","","","","","","","","","Hammatt","","","","","",""
"73","State","Aaron Ringel","Senior Advisor","","","","2019-03-01","","","","","","14","aaron-ringel-state","","","","","state","","","","","","","","","Ringel","","","","","",""
"1955","Treasury","Brittany Morgan Carey","Special Assistant","","","","2017-07-10","2018-07-01","https://www.documentcloud.org/documents/6419797-Brittany-Morgan-Carey-Financial-Disclosure.html","","","","69","brittany-morgan-carey","true","","","","treasury","","","","","","","","","Carey","","","","","",""
"34","Environmental Protection Agency","Michael Abboud","Special Assistant for the Office of Public Affairs","","","$68,036-$88,450","2017-07-09","","https://www.documentcloud.org/documents/4387729-Michael-Abboud-Financial-Disclosure.html","","","","67","michael-abboud","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/michael-abboud-88a38498/","","","","","Abboud","","","","","",""
"33","Agriculture","David Warren Matthews","Confidential Assistant, Food Nutrition and Consumer Services","Confidential Assistant, Farm Service Agency","","$66,510","2017-01-20","","https://www.documentcloud.org/documents/4345143-Matthews-David.html","","","","5","david-warren-matthews","","","","","agriculture","","","","","Western PA field director for Trump campaign","Dothan Eagle","http://www.dothaneagle.com/news/local/dothan-resident-a-donald-trump-delegate-at-convention/article_6f7b7fce-4c65-11e6-b4a9-939fd3e8836d.html","","Matthews","","","","","https://www.documentcloud.org/documents/4824403-David-Warren-Matthews-Resume.html",""
"29","Agriculture","Tim Anthony Page","Confidential Assistant","Confidential Assistant, Rural Development","","$66,510","2017-01-22","2017-10-30","https://www.documentcloud.org/documents/4345148-Page-Tim.html","","","","5","tim-anthony-page","","","","","agriculture","","","","https://www.linkedin.com/in/tim-page-247289b0/","","","","","Page","","","","","https://www.documentcloud.org/documents/4824484-Tim-Anthony-Page-Resume.html",""
"32","Agriculture","William Ryan O'Dwyer","Special Assistant","Special Assistant, Marketing and Regulatory Programs","","$112,021","2017-03-07","2017-08-04","https://www.documentcloud.org/documents/4345147-O-Dwyer-William.html","","","","5","william-ryan-o-dwyer","","","","","agriculture","","","","https://www.linkedin.com/in/ryan-o-dwyer-452023b/","2012 Republican National Convention Deputy Director of Operations Tampa, FL 2011 to 2012 I was in Tampa for a full year planning the Convention so my duties were vast and varied. Some duties included, but are not limited to procuring official Convention vendors such as our tent dark fiber provider, energy provider, tent company, portable restroom provider, official caterers, etc. I managed the relationships with these vendors and gave them direction. I Oversaw the build-out of all Convention Campus which was the biggest in RNC history. This included our \"tent city\" with over 100,000 sq. ft. of tenting which was all either air-conditioned or misted, plus lit for night time use. I served as primary point of contact between the Tampa Bay Times Forum staff and Convention Operations. I had numerous relationships with much of the Forum staff. There is no way the Convention could have been successful without a good working relationship between the two parties. I acted as primary liaison between hospitality clients including Romney Victory. This included the planning of all hospitality areas that the Romney campaign required. The most notable project was a 6th floor outdoor deck tent at the Forum. The MITA Group, Inc. Principal Washington, D.C. 2008 to 2011 The MITA Group is a full service Government Affairs Firm that works on behalf of numerous clients in varied fields. The MITA Group performs traditional lobbying duties along with international client consulting duties, management of Political Action Committees and performs political campaign consulting. As a Principal, I was in charge of client support and research. This required the establishment of good relationships on Capitol Hill with Congressional staff in order to present our clients' positions on various issues and pieces of legislation. I also worked on various campaigns over the years and managed one of MITA's Political Action Committees. Romney For President Site Advance Various U.S. States 2012 I was on the Romney For President traveling advance team. Specifically, I was in charge of identifying sites for speeches and rallies, then securing that site and preparing it for a presidential speech or rally. The events that I assisted in organizing ranged in size from 2,000 to 30,000 attendees. The various logistics that need to be completed for these events include but are not limited to: stage set up, sound, lighting, camera platforms, restrooms, press preparation, catering, off stage holding areas, etc","NOLA.com via Internet Archive","https://web.archive.org/save/https://worknola.com/job-seeker-profile/wm-ryan-odwyer","","O'Dwyer","","","","","https://www.documentcloud.org/documents/4824413-William-Ryan-O-Dwyer-Resume.html",""
"27","Agriculture","Robert Aloysius Placek","Advance Lead","","","$66,510","2017-04-05","","https://www.documentcloud.org/documents/4345150-Placek-Robert.html","","","","5","robert-aloysius-placek","","","","","agriculture","","","","https://www.linkedin.com/in/robplacek/","","","","","Placek","","","","","https://www.documentcloud.org/documents/4824419-Robert-Aloysius-Placek-Resume.html",""
"1952","Treasury","Brian Richard Callanan","Deputy General Counsel","General Counsel","","","2017-03-09","","https://www.documentcloud.org/documents/6420196-Brian-Richard-Callanan-Financial-Disclosure.html","https://www.documentcloud.org/documents/4367219-Callanan-Brian-Waiver.html","","","69","brian-richard-callanan","","true","","","treasury","","","","","","","","","Callanan","true","","","Before taking the post at Treasury, Brian Callanan had just started as a partner at the law firm Cooper and Kirk, where his focus was regulatory litigation and government investigations. He was granted a waiver to work on an issue related to litigation other attorneys at his old firm were working on. He was previously staff director and general counsel of the Senate Permanent Subcommittee on Investigations, chaired by Sen. Rob Portman (R-OH).","",""
"1953","Treasury","Brian Robert Morgenstern","Assistant Secretary (Public Affairs)","Senior Advisor","","","2017-08-21","","https://www.documentcloud.org/documents/6419815-Brian-Robert-Morgenstern-Financial-Disclosure.html","","","","69","brian-robert-morgenstern","","","","","treasury","","","","","","","","","Morgenstern","","","","","",""
"1954","Treasury","Zachary Noah Isakowitz","Advance Representative","","","","2017-03-06","","https://www.documentcloud.org/documents/6419816-Zachary-Noah-Isakowitz-Financial-Disclosure.html","","","","69","zachary-noah-isakowitz","","","","","treasury","","","","","","","","","Isakowitz","","","","","",""
"1956","Treasury","Charles P. Rettig","Commissioner, Internal Revenue Service","","","","2018-02-08","","https://www.documentcloud.org/documents/6419817-Charles-P-Rettig-Financial-Disclosure.html","","","","69","charles-p-rettig","","","","","treasury","","","","","","","","","Rettig","","","","","",""
"1957","Treasury","Cooper Franklin Godfrey","Special Assistant","","","","2017-06-12","2018-09-10","https://www.documentcloud.org/documents/6419818-Cooper-Franklin-Godfrey-Financial-Disclosure.html","","","","69","cooper-franklin-godfrey","","","","","treasury","","","","","","","","","Godfrey","","","","","",""
"1958","Treasury","Dana L. Trier","Assistant Secretary (Tax Policy)","","","","2017-07-10","2018-02-26","https://www.documentcloud.org/documents/6419819-Dana-L-Trier-Financial-Disclosure.html","","","","69","dana-l-trier","","","","","treasury","","","","","","","","","Trier","","","","","",""
"31","Agriculture","William Seth Russell","Confidential Assistant","Confidential Assistant, Congressional Affairs","","$73,846","2017-01-25","","https://www.documentcloud.org/documents/4345154-Russell-William.html","","","","5","william-seth-russell","","","","","agriculture","","","","https://www.linkedin.com/in/william-russell-15526687/","Experienced consultant with a demonstrated history of working in the political arena. Skilled in Nonprofit Organizations, Management, Marketing, and Politics. Strong strategic operations professional with a Bachelor of Business Administration focused in Marketing from Mississippi State University.","LinkedIn","https://www.linkedin.com/in/william-russell-15526687/","","Russell","","","","","",""
"1296","State","Irwin Steven Goldstein","Under Secretary for Public Diplomacy","","","","2017-11-16","","https://www.documentcloud.org/documents/4388454-Irwin-Steven-Goldstein-Financial-Disclosure.html","","","","14","irwin-steven-goldstein","","","","","state","","","","","","","","","Goldstein","","","","","",""
"37","Agriculture","R. Layne Bangerter","State Director - Idaho, Rural Housing Service","","","$155,073","","","https://www.documentcloud.org/documents/3766084-Bangerter-Layne.html","","","","5","r-layne-bangerter-agriculture","","","","","agriculture","","","","","Layne Bangerter comes to the United State Department of Agriculture (USDA) Rural Development (RD) with 33 years of federal service, most recently from the U.S. Environmental Protection Agency (EPA). At the EPA Bangerter served as the Deputy Associate Administrator for Intergovernmental Relations, where he facilitated interactions with state and local governments, and coordinated those activities with 10 EPA regional offices around the nation. He also previously served as State Director for Agriculture, Natural Resources, and Environment for U.S. Senator Mike Crapo of Idaho from 2003 to 2017. In this capacity, he represented Senator Crapo on various issues involving federal agency oversight and legislation. Additionally, he worked various roles for the Fish and Wildlife Service, and the USDA from July 1985 to April 2003 as a Wildlife Biologist. Layne was the Donald J. Trump Campaign Director for the State of Idaho. He was a valuable member of the Trump campaign team throughout the West, orchestrating efforts and traveling with Vice Presidential Nominee, Mike Pence. He was also a Donald J. Trump Delegate to the Republican National Convention. Following the election, he served on the Trump/Pence Transition Team from November 2016 to January 2017. Layne initially was sworn into the Administration on January 21, 2017 as a member of the President-Elect’s Transition “Beachhead Team” for EPA. He led this team at the EPA for the Office of Congressional and Intergovernmental Relations and the Office of Water. Layne was born to American parents in Sao Paulo, Brazil. He grew up in Alpine, Utah and attended college at Brigham Young University in Provo, Utah where he received his Bachelor’s Degree in Wildlife and Range Resource Management. He has had a passion for hard work from a young age. He has worked in home construction, farming, ranching, and agribusiness. His love of family, natural resources, sports, agriculture and private property rights are what drives him. Layne and his wife, Betsy, have been married for 34 years; they have eight children, and 10 grandchildren. He is the owner of a Farm, Ranch, and Land Company in Melba, Idaho. The Bangerter family focus their lives on service to their church and country. Layne is fluent in Portuguese and Spanish. He is an avid outdoorsman and conservationist. His interests include camping, hunting, fishing and horses. As State Director, Layne will use his leadership experience to oversee RD programs in a customer-focused manner to restore prosperity in rural Idaho.","Department of Agriculture","https://www.rd.usda.gov/about-rd/leadership/state-directors/layne-r-bangerter","","Bangerter","","","","","",""
"42","Environmental Protection Agency","Brittany Bolen","Principal Deputy Associate Administrator for Policy","Senior Deputy Associate Administrator for Policy","","$161,900","2018-04-15","","https://www.documentcloud.org/documents/4387733-Brittany-Bolen-Financial-Disclosure.html","","","","67","brittany-bolen","","true","","","environmental-protection-agency","","","","","","","","","Bolen","","","","Brittany Bolen was counsel for the Senate’s Environment and Public Works committee, when it was chaired by Sen. James Inhofe (R-OK).","",""
"45","Environmental Protection Agency","Katherine Cory","Special Assistant to the Senior Deputy Associate Administrator for Intergovernmental Relations","","","$44,941","2017-06-18","2018-02-17","https://www.documentcloud.org/documents/4387731-Katherine-Cory-Financial-Disclosure.html","","","","67","katherine-cory","","","","","environmental-protection-agency","","","","","","","","","Cory","","","","","",""
"1959","Treasury","Daniel Joseph Kowalski","Counselor to the Secretary","","","","2017-03-01","","https://www.documentcloud.org/documents/6419820-Daniel-Joseph-Kowalski-Financial-Disclosure.html","","","","69","daniel-joseph-kowalski","","","","","treasury","","","","","","","","","Kowalski","","","","","",""
"1960","Treasury","Donald Castellucci","Advance Representative","","","","2017-07-24","","https://www.documentcloud.org/documents/6419821-Donald-Castellucci-Financial-Disclosure.html","","","","69","donald-castellucci","","","","","treasury","","","","","","","","","Castellucci","","","","","",""
"1963","Treasury","James Ernest Littlefair","Advance Representative","","","","2017-03-07","","https://www.documentcloud.org/documents/6419824-James-Ernest-Littlefair-Financial-Disclosure.html","","","","69","james-ernest-littlefair","","","","","treasury","","","","","","","","","Littlefair","","","","","",""
"954","State","John Joseph Sullivan","Deputy Secretary of State, Office Of The Deputy Secretary","","","","2017-05-24","","https://www.documentcloud.org/documents/3766820-Sullivan-John-J.html","","","","14","john-joseph-sullivan","","true","","","state","false","","","","","","","","Sullivan","","","","John Sullivan was most recently a partner at the law firm Mayer Brown, where he represented companies on issues commonly under the purview of the State Department such as export controls. Prior to that, he served at various agencies during the administrations of George W. Bush and George H.W. Bush.","",""
