Senate Appt,itemLabel,Political Affiliation,Federalist Society,Heritage Foundation,Notes
,Joseph Edlow,,,,"Counsel, House Judiciary Committee"
,Brittian Featherston,,,,
,Lindsey A. Freeman,,,,
,Joshua Gardner,,,,
,Aram A. Gavoor,,1,,
,Matthew Glover,,1,,
,Lauren Goldschmidt,,,,
,Christopher K. Grieco,,1,,
,Gene P. Hamilton,,,,"Staffer, Sen. Jeff Sessions"
,Mary Blanche N. Hankey,,,,
,Kenneth Harris,,,,
,Jessica Hart,Republican,,,Regional Director for Sen. Ted Cruz (Senate Judiciary Committee)
,Tara Helfman,Republican,1,,
,Annie Hsiao,,,,
,Andrew Hudson,,1,,"Counsel, Sen. Jeff Sessions (Senate Judiciary Committee)"
,Ethan B. Kanter,,,,
,William Levi,,,,"Chief Counsel, Sen. Mike Lee (Senate Judiciary Committee)"
,Jennifer B. Lichter,,1,,Listed as founder in FS brochure
,Daniel Loveland,,,,
,Gerald Lucas,,,,
,Amelia Medina,,,,
,Brandon Middleton,,1,,"Counsel, Senator Jeff Sessions (2015-2017)"
,Chad Mizelle,Republican ,1,,"Volunteer Attorney, Donald J Trump for President Campaign"
,John S. Moran,,,,"Associate Counsel to the President; Member, Trump-Pence Transition Team"
,Brian Morrissey,,,,
,Joseph Mott,,,,
,Michael Murray,,,,
,Patricia M. Nation,,,,
,Sam G. Nazzaro,,,,
,Taylor Owings,,1,,
,David Palmer,,,,
,Rachel Parker-Bissex,,,,
,James Percival,,,,
,Lindsay Pickell,,,,"Counsel, Sen. Jeff Sessions (2016-2017)"
,Bethany Pickett,,,,
,Samuel Ramer,,,,
,William Rinner,,,,
,Reed Rubinstein,Republican,1,1,
,David Rybicki,,,,
,Julia A. Schiller,,,,
,Matthew Sheehan,,,,
,Corinne Snow,,,,
,James Swanson,,,,
,Lindsey De La Torre,,,,
,Rachael Tucker,,,,
,Jessica Vu,,,,
,Matthew G. Whitaker,Republican,!,1,Chief of Staff to Sessions (2017-2018) (Recommended by FS); Spoke at HF event
,Danielle Douglas,,,,
,Dorothy Williams,,,,
,Sarah Isgur,,,,
,Philip Keith,,,,
,Krystle Mitchell,,,,
,Paul Moore,,,,
,Ian Prior,,,,
,Guice Slawson,,,,
,Lathika Mary Thomas,,,,
,Kerri Kupec,,,,
,Tracy Toulou,,,,
,Gerri Ratliff,,,,
,Rosalind Burns,,,,
,Jeffrey R. Ragsdale,,,,
,Lee J. Lofthus,,,,
,Sylvia M. Becker,,,,
,Bobak Talebian,,,,
,Clifford J. White,,,,
,Timothy J. Shea,,,,
,Stacy Ludwig,,,,
,Patricia K. Cushwa,,,,
,Adam W. Cohen,,,,
