id,name_rus,name_eng,position_rus,position_eng,office_rus,office_eng,date_of_appointment,gender,year_of_birth,age,birth_place_region_rus,birth_place_region_eng,birth_place_location_rus,birth_place_location_eng,university_rus,university_eng,grad_year,ed_level_rus,ed_level_eng,employer_rus,employer_eng,`,emp_region_eng,start_date,end_date,last_title_rus,last_title_eng,2019_fired,2020_fired,image,staff_income,spouse_income,income_2019,income_2018,notes_rus,notes_eng
5,,,,,,,,,,,,,,,,,,,,Прокуратура Приморского края,The prosecutor's office of Primorsky Krai,Приморский край,Primorsky Krai,2014,2016,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
52,Антипов Вадим Иванович,Antipov Vadim Ivanovich,Прокурор региона,region prosecutor,Нижегородская область,Nizhny Novgorod Region,2018,male,1970,50,Татарстан,Tatarstan,,,Казанский государственный университет,Kazan State University,1994,специалист,specialist,Прокуратура Татарстана,The Prosecutor's Office of Tatarstan,Татарстан,Tatarstan,1994,2002,,,,,http://proc-nn.ru/data/objects/4/img/preview/2.jpg,"3 457 281,00",,1,,,
6,,,,,,,,,,,,,,,,,,,,Прокуратура Павлодарской области,The prosecutor's office of Pavlodar region,Казахстан,Kazakhstan,1992,1995,Прокурор Ильичевского района города Павлодара,Attorney of Illichivsk district of Pavlodar,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,Прокуратура Павлодарской области,The prosecutor's office of Pavlodar region,Казахстан,Kazakhstan,1995,1996,Начальник отдела,Head of Department,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,Следственный комитет Казахстана,Investigation Committee of Kazakhstan,Казахстан,Kazakhstan,1996,1997,Следователь,Investigator,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,1997,2002,Следователь Центрального административного округа,Investigator of the Central Administrative District,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2002,2005,Таганский межрайонный прокурор,Tagansky Interdistrict Prosecutor,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,Федеральная регистрационная служба,The Federal Registration Service,Москва,Moscow,2005,2006,Начальник отдела,Head of Department,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,Генеральная прокуратура,General prosecutor's Office,Москва,Moscow,2006,2011,Заместитель начальника управления,Deputy head,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,Прокуратура Московской области,The prosecutor's office of Moscow region,Москва,Moscow,2011,2013,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
181,Бабаев Игорь Александрович,Babaev Igor Alexandrovich,начальник управления,Head of Department,управление Генеральной прокуратуры в Южном федеральном округе,Management of the General Prosecutor's Office in the Southern Federal District,2017,male,1965,55,Чечня,chechnya,Грозный,Grozny,Саратовская государственная академия права (Саратовский юридический институт),Saratov State Academy of Law (Saratov Law Institute),1991,специалист,specialist,Прокуратура Краснодарского края,The Prosecutor's Office of Krasnodar Region,Краснодарский край,Krasnodar region,1991,2017,Прокурор региона,region prosecutor,,1,https://s14.stc.all.kpcdn.net/share/i/12/10122040/inx960x640.jpg,"3 285 329,00","2 248 930,00",,1,,
7,,,,,,,,,,,,,,,,,,,,Прокуратура Московской области,The prosecutor's office of Moscow region,Московская область,Moscow region,2004,2005,Первый заместитель прокурора Мытищ,First Deputy Prosecutor of Mytishchi,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2005,2007,Начальник управления,Head of Department,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,Прокуратура Московской области,The prosecutor's office of Moscow region,Московская область,Moscow region,2007,2010,Старший прокурор,Senior Attorney,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,Прокуратура Наро-Фоминска,The prosecutor's office of Naro-Fominsk,Московская область,Moscow region,2010,2013,Прокурор,prosecutor,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,Прокуратура Московской области,The prosecutor's office of Moscow region,Москва,Moscow,2013,2015,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
100,Бажутов Сергей Александрович,Bazhutov Sergey Alexandrovich,Начальник Главного управления,Head of Main Department,Генеральная прокуратура,General prosecutor's Office,2020,male,1966,54,Казахстан,Kazakhstan,"Кустанайский район, Первомайский","Kostanai region, Pervomajskij",Уральская государственная юридическая Академия (Свердловский юридический институт),Ural State Law Academy (Sverdlovsk Law Institute),1987,специалист,specialist,Прокуратура Приморского края,The prosecutor's office of Primorsky Krai,Приморский край,Primorsky Krai,1991,2003,"старшим следователем, заместителем прокурора г. Спасска-Дальний, прокурором Спасского района Приморского края, прокурором Ленинского района г. Владивостока","senior investigator, deputy prosecutor of Spassk-Far, the prosecutor Spassky district of Primorye, the prosecutor of Leninsky district of Vladivostok",,,https://archive.komiinform.ru/content/news/images/144583/DSC_0228.jpg,"4 955 797,42","2 649 492,30",,1,Был поркурором Коми 9 лет,
8,,,,,,,,,,,,,,,,,,,,Прокуратура Башкортостана,The prosecutor's office of Bashkortostan,Башкортостан,Bashkortostan,2005,2007,Прокурор Стерлибашевского района,Attorney Sterlibashevsky District,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,Прокуратура Ярославля,The Prosecutor's Office of Yaroslavl,Ярославская область,Yaroslavskaya oblast,2007,2009,Глава отдела,Head of the department,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,Прокуратура Владимирской области,The prosecutor's office of Vladimir region,Владимирская область,Vladimir region,2009,2018,Глава управления,Head of management,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,Прокуратура Ростовской области,The Prosecutor's Office of the Rostov region,Ростовская область,Rostov region,2018,2020,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
172,Бакун Владимир Михайлович,Bakun Vladimir Mikhailovich,заместитель начальника управления,Deputy Head of Department,Генеральная прокуратура,General prosecutor's Office,2012,male,1962,58,Архангельская область,Arhangelsk region,Кулой Вельского района,Kuloy Belsky District,Уральская государственная юридическая Академия (Свердловский юридический институт),Ural State Law Academy (Sverdlovsk Law Institute),1988,специалист,specialist,Прокуратура Узбекистана,The Prosecutor's Office of Uzbekistan,Узбекистан,Uzbekistan,1988,,,,,,http://viperson.ru/uploads/person/452553/main_image/page_45120.pic.jpg,"3 728 506,00","457 949,00",1,,,
9,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2000,2005,Старший помощник прокурора Центрального административного округа,Senior Assistant Prosecutor of the Central Administrative District,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,Государственная дума,The State Duma,Москва,Moscow,2005,2007,Специалист-эксперт,Expert,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2007,2009,Заместитель прокурора Центрального административного округа,Deputy Prosecutor of the Central Administrative District,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,Генеральная прокуратура,General prosecutor's Office,Москва,Moscow,2009,2012,Заместитель начальника управления,Deputy head,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2012,2019,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
65,Баранов Юрий Алексеевич,Baranov Yuri Alexeevich,Прокурор региона,region prosecutor,Ростовская область,Rostov region,2012,male,1960,60,Липецкая область,Lipetsk region,,,Воронежский государственный университет,Voronezh State University,1985,специалист,specialist,Прокуратура Липецкой области,The prosecutor's office of the Lipetsk region,Липецкая область,Lipetsk region,1985,2000,"Следователь Грязинской межрайонной прокуратуры Липецкой области, помощником районных и городских прокуратур Липецкой области, следователем по особо важным делам прокуратуры города Липецка, прокурором Правобережного района Липецка","Investigator Griazinsky interdistrict prosecutor's office of the Lipetsk region, the assistant district and city prosecutor's office of the Lipetsk region, an investigator for particularly important cases of the Prosecutor's Office of the city of Lipetsk, Lipetsk region prosecutor Pravoberezhny",,,https://lh3.googleusercontent.com/proxy/wenOZiZhDSloXTjwd5sYA-XIRYSrEPbqAlAIVLTubIcA7myac4yhLFft4v863JwWjMbTDS0CWNARPJgknYj2O23xFHOo1_pLU57ZVzBDFQ,"3 541 844,84","59 003,56",1,,,
10,,,,,,,,,,,,,,,,,,,,Прокуратура Тамбовской области,The prosecutor's office of the Tambov region,Тамбовская область,Tambov Region,2010,2020,Прокурор региона,region prosecutor,,,,,,,,,
170,Бачемукова Зулима Асланчериевна,Bachemukova Zulima Aslancherievna,заместитель начальника Главного управления- начальник управления,Deputy Chief control- Head,Генеральная прокуратура,General prosecutor's Office,2019,female,1959,61,,,,,Кубанский государственный университет,Kuban State University,1984,специалист,specialist,Прокуратура Краснодарского края,The Prosecutor's Office of Krasnodar Region,Краснодарский край,Krasnodar region,1984,2019,Прокурор региона,region prosecutor,,,https://ruspekh.ru/images/avatar/26527.jpg?actual=2018-01-19_22:50:00,"3 660 426,00",,1,,,
11,,,,,,,,,,,,,,,,,,,,Прокуратура Челябинской области,The Prosecutor's Office of the Chelyabinsk region,Челябинская область,Chelyabinsk region,2004,2015,Прокурор региона,region prosecutor,,,,,,,,,
190,Белов Михаил,Belov Mikhail,заместитель начальника управления,Deputy Head of Department,Генеральная прокуратура,General prosecutor's Office,2012,male,,,,,,,Ярославская Военная финансово-экономическая академия,Yaroslavl Military Financial and Economic Academy,,,,,,,,,,,,1,,https://static.mk.ru/upload/entities/2020/02/13/18/articles/detailPicture/14/fb/6e/e4/7778dccecd356f0d719d31a9d861978d.jpg,"3 023 842,00","4 506,00",,1,Участник пьяного конфликта,
12,,,,,,,,,,,,,,,,,,,,Прокуратура Бурятии,The Prosecutor's Office of Buryatia,Бурятия,Buryatia,2000,2009,Начальник отдела,Head of Department,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,Прокуратура Бурятии,The Prosecutor's Office of Buryatia,Бурятия,Buryatia,2009,2017,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
63,Белов Сергей Дмитриевич,Belov Sergey Dmitrievich,Прокурор региона,region prosecutor,Псковская область,Pskov region,2015,male,1962,58,Нижегородская область,Nizhny Novgorod Region,Ковернино,Kovernino,Саратовская государственная академия права (Саратовский юридический институт),Saratov State Academy of Law (Saratov Law Institute),1986,специалист,specialist,Прокуратура Ставропольского края,The prosecutor's office of the Stavropol Territory,Ставропольский край,Stavropol region,1986,1996,,,,1,http://kartinki.luki.ru/afs/50df7148dd96b6a0b3f87e62cad4ec6d11:resize:200x270xxjpegxffffff:same:5302fe,"3 342 220,30","421 615,16",1,,Назначен заместителем прокурора кабардино-балкарии,He is now nominated as prosecutor of Kabardino-Balkaria
13,,,,,,,,,,,,,,,,,,,,Прокуратура Липецкой области,The prosecutor's office of the Lipetsk region,Липецкая область,Lipetsk region,2001,2003,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,Прокуратура Липецкой области,The prosecutor's office of the Lipetsk region,Липецкая область,Lipetsk region,2003,2013,Прокурор региона,region prosecutor,,,,,,,,,
46,Беляков Сергей Геннадьевич,Belyakov Sergey Gennadievich,Прокурор региона,region prosecutor,Марий-Эл,Mari El,2018,male,1965,55,Татарстан,Tatarstan,Казань,Kazan,Казанский Государственный университет,Kazan State University,1995,специалист,specialist,Прокуратура Татарстана,The Prosecutor's Office of Tatarstan,Татарстан,Tatarstan,1995,2008,Прокурор Набережных Челнов и Бавлы,Attorney Naberezhnye Chelny and Bavly,,,https://ruspekh.ru/images/avatar/51689.jpg?actual=2019-06-05_22:10:33,"3 084 961,14","3 630,00",,1,,
14,,,,,,,,,,,,,,,,,,,,Второе управление прокуратуры,Second Prosecutor's Office management,Иркутская область,Irkutsk region,1989,1993,Старший следователь,Senior investigator,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,1993,2006,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,Прокуратура Мурманской области,The prosecutor's office of the Murmansk region,Мурманская область,Murmansk region,2006,2015,Прокурор региона,region prosecutor,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,Прокуратура Волгоградской области,The Prosecutor's Office of the Volgograd region,Волгоградская область,Volgograd region,2015,2020,Прокурор региона,region prosecutor,,,,,,,,,
57,Берижицкий Сергей Петрович,Berizhitsky Sergey Petrovich,Прокурор региона,region prosecutor,Самарская область,Samara Region,2020,male,1966,54,Оренбургская область,Orenburg region,Новотроицк,Novotroitsk,Московский государственный юридический университет (Всесоюзный юридический заочный институт),Moscow State Law University (All-Union Correspondence Institute of Law),1991,специалист,specialist,Прокуратура Оренбургской области,The prosecutor's office of the Orenburg region,Оренбургская область,Orenburg region,1992,2009,Заместитель прокурора региона,The deputy prosecutor of the region,,,https://ruspekh.ru/images/articles/53549/2019-07-11-253_87375-1_585174.jpg,"4 035 538,33","470 225,95",1,,,
15,,,,,,,,,,,,,,,,,,,,Прокуратура Рязанской области,The prosecutor's office of the Ryazan region,Рязанская область,Ryazan Oblast,2008,2011,Прокурор Рязанского района,Prosecutor of the Ryazan region,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,Прокуратура Тывы,The prosecutor's office in Tuva,Тыва,Tyva,2012,2017,Прокурор региона,region prosecutor,,,,,,,,,
139,Бессчасный Сергей Алексеевич,Besschasny Sergey Alexeevich,заместитель начальника Главного управления – начальник  управления,Deputy Head of Main Department - Head of Department,Генеральная прокуратура,General prosecutor's Office,2018,male,1972,48,Ростовская область,Rostov region,Зерноград,Zernograd,Ростовский государственный университет,Rostov State University,1994,кандидат юридических наук,Candidate of Legal Sciences,Прокуратура Ростовской области,The Prosecutor's Office of the Rostov region,Ростовская область,Rostov region,1994,,Заместитель прокурора региона,The deputy prosecutor of the region,,,https://primamedia.ru/f/person/200x200/9112.jpg,"4 217 274,00","4 365 112,00",1,,,
16,,,,,,,,,,,,,,,,,,,,Прокуратура Владимирской области,The prosecutor's office of Vladimir region,Владимирская область,Vladimir region,2008,2014,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,Прокуратура Калужской области,The prosecutor's office of the Kaluga region,Калужская область,Kaluga region,2014,2019,Прокурор региона,region prosecutor,,,,,,,,,
137,Бобырев В.В.,Bobyrev V.V.,заместитель начальника управления Главного управления –начальник управления,Deputy Head of Main Department - Head of Department,Генеральная прокуратура,General prosecutor's Office,,male,,,,,,,Московский юридический институт МВД (Московский университет МВД),Moscow Institute of Law Ministry of Internal Affairs (MVD Moscow University),,кандидат юридических наук,Candidate of Legal Sciences,,,,,,,,,,,,"3 434 770,00","2 198 294,00",1,,,
17,,,,,,,,,,,,,,,,,,,,Прокуратура Хакасии,The Prosecutor's Office of Khakassia,Хакасия,Khakassia,2006,2016,Старший помощник прокурора,Senior Assistant Attorney,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,Прокуратура Хакасии,The Prosecutor's Office of Khakassia,Хакасия,Khakassia,2016,2017,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,Прокуратура Хакасии,The Prosecutor's Office of Khakassia,Хакасия,Khakassia,2017,2018,Прокурор региона,region prosecutor,,,,,,,,,
3,Богданчиков Анатолий Борисович,Bogdanchikov Anatoly Borisovich,Прокурор региона,region prosecutor,Республика Алтай,Altai Republic,2019,male,1969,51,Казахстан,Kazakhstan,"Кустанайский район, Силантьевка","Kostanai region, Silantevka",Алтайский государственный университет,Altai State University,1995,специалист,specialist,Прокуратура Алтайского края,The Prosecutor's Office of the Altai Territory,Алтайский край,Altai region,1995,2007,Прокурор Барнаула,Attorney of Barnaul,,,https://ruspekh.ru/images/articles/62862/2019-12-26-788_96494-1_342054.jpg,"3 406 584,00","2 279 551,00",1,,Был прокурором Ставопольского края,Used to be Stavropol region prosecutor
18,,,,,,,,,,,,,,,,,,,,Прокуратура Московской области,The prosecutor's office of Moscow region,Московская область,Moscow region,2009,2013,Заместитель прокурора Климовска,Deputy Attorney of Klimovsk,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,Прокуратура Чечни,Chechnya prosecutor's office,Чечня,chechnya,2013,2017,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
72,Большедворский Марк Александрович,Bolshedvorskaya Mark Alexandrovich,Прокурор региона,region prosecutor,Севестополь,Sevestopol,2018,male,1975,45,Иркутская область,Irkutsk region,Ангарск,Angarsk,Иркутский государственный университет,Irkutsk State University,1997,специалист,specialist,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,1997,2007,Первый заместитель прокурора Ангарска,First Deputy Prosecutor of Angarsk,,,http://sevproc.ru/assets/cache/images/222x320-3333333333.e6c.jpg,"3 054 300,81",,,1,,
19,,,,,,,,,,,,,,,,,,,,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,2001,2006,Прокурор Ангарска,The prosecutor of Angarsk,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,2006,2008,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,Прокуратура Томской области,The prosecutor's office in Tomsk region,Томская область,Tomsk region,2008,2015,Прокурор региона,region prosecutor,,,,,,,,,
80,Боровков Александр Николаевич,Borovkov Alexander Nikolaevich,Прокурор региона,region prosecutor,Республики Тыва,Republic of Tuva,2017,male,1967,53,Красноярский край,Krasnoyarsk region,Красноярск,Krasnoyarsk,Красноярский государственный университет,Krasnoyarsk State University,1991,специалист,specialist,Красноярской транспортной прокуратуры,Krasnoyarsk transport prosecutor's office,Красноярский край,Krasnoyarsk region,,,следователь,investigator,,,http://www.proctuva.ru/boss_.jpg,"4 960 049,00","9 068 404,00",,1,,
20,,,,,,,,,,,,,,,,,,,,Дальневосточная транспортная прокуратура,Far Eastern Transport Prosecutor's Office,Хабаровский край,Khabarovsk region,1993,2000,глава отдела,head of the department,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,Управление Генеральной прокуратуры в Дальневосточном федеральном округе,General Prosecutor's Office of the Far Eastern Federal District,Хабаровский край,Khabarovsk region,2000,2006,Помощник заместителя Генерального прокурора,Assistant Deputy Attorney General,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,Прокуратура Хабаровского края,The prosecutor's office of the Khabarovsk Territory,Хабаровский край,Khabarovsk region,2006,2008,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,Прокуратура Тульской области,The prosecutor's office in Tula region,Тульская область,Tula region,2008,2012,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
87,Ботвинкин Евгений Борисович,Botvinkin Eugene Borisovich,Прокурор региона,region prosecutor,Ханты-Мансийского автономного округа – Югры,Khanty-Mansi Autonomous District - Yugra,2015,male,1965,55,Челябинская область,Chelyabinsk region,Магнитогорске,Magnitogorsk,Уральская государственная юридическая Академия (Свердловский юридический институт),Ural State Law Academy (Sverdlovsk Law Institute),,специалист,specialist,прокуратура Челябинской области,Prosecutor's Office of the Chelyabinsk region,Челябинская область,Chelyabinsk region,1989,,стажера,trainee,,,http://www.prokhmao.ru/upload/foto.jpg,"5 273 787,00",,,1,,
21,,,,,,,,,,,,,,,,,,,,Прокуратура Ханты-Мансийского автономного округа — Югры,The prosecutor's office of the Khanty-Mansi Autonomous District - Yugra,Ханты-Мансийский автономный округ — Югра,Khanty-Mansi Autonomous District - Yugra,,,Заместитель Югорского межрайонного прокурора,Deputy Ugra interdistrict prosecutor,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,Прокуратура Чечни,Chechnya prosecutor's office,Чечня,chechnya,,,Заместитель Веденского района,Deputy Vedeno district,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,Прокуратура Ставропольского края,The prosecutor's office of the Stavropol Territory,Ставропольский край,Stavropol region,,,Прокурор Кисловодска и Невинномысска,Attorney and Kislovodsk Nevinnomyssk,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,Прокуратура Ингушетии,The prosecutor's office in Ingushetia,Ингушетия,Ingushetia,2015,2016,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
124,Бочкарев Сергей Александрович,Bochkarev Sergey Alexandrovich,заместитель начальника Главного управления,Deputy Head of Main Department,Генеральная прокуратура,General prosecutor's Office,2018,male,1983,37,Свердловская область,Sverdlovsk region,Октябрьский,Oktyabrskiy,Санкт-Петербургский юридический институт (филиал) Академии Генеральной прокуратуры,St. Petersburg Law Institute (branch) of the Academy of General Prosecutor's Office,2005,кандидат юридических наук,Candidate of Legal Sciences,Прокуратура Санкт-Петербурга,The prosecutor's office of St. Petersburg,Санкт-Петербург,St. Petersburg,2005,2010,,,,,https://peps.dossier.center/wp-content/uploads/2018/04/download.jpeg,"3 932 578,00",,1,,Правая рука Гриня. Политически мотивированные дела. Нарушение прав человека,
22,,,,,,,,,,,,,,,,,,,,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,1998,2003,Следователь,Investigator,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,2003,2004,Заместитель прокурора Ангарска,The deputy prosecutor of Angarsk,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,Прокуратура Усть-Ордынского Бурятского автономного округа,The Prosecutor's Office of Ust-Orda Buryat Autonomous District,Усть-Ордынский Бурятский автономный округ,Ust-Orda Buryat Autonomous Okrug,2004,2006,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,2007,2018,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
