school,conservatism,rank
Saint Louis University,-0.752,92
Salmon P. Chase College of Law,-0.026,157
San Francisco Law School,-0.98,136
San Joaquin College of Law,-0.041,
Santa Clara University,-0.816,92
Seattle University,-0.938,102
Seton Hall University School of Law,-0.467,64
South Texas College of Law,-0.08,148
Southern Illinois University,-0.634,157
Southern Methodist University,0.029,43
Southern University,-0.377,191
Southwestern Law School,-0.733,115
"St. John’s University, Collegeville, MN",-0.301,
"St. John’s University, New York, NY",-0.483,58
St. Louis University,-0.661,92
St. Mary’s University School of Law,0.047,148
St. Thomas University School of Law,-0.147,173
Stanford University,-0.878,4
State University of New York at Buffalo,-0.413,115
Stetson University,0.015,92
Suffolk University,-0.637,115
Syracuse University,-0.618,102
Temple University,-0.701,43
Texas Tech University,0.236,92
Texas Wesleyan University,0.047,
Thomas Jefferson University,-0.171,185
Thomas M. Cooley Law School,-0.204,194
Thurgood Marshall School of Law,-0.962,52
Touro College,-0.56,173
Tulane University,-0.563,58
University of Akron,-0.123,115
University of Alabama,0.066,24
University of Arizona,-0.776,43
"University of Arkansas, Fayetteville",-0.237,102
"University of Arkansas, Little Rock",-0.29,148
University of Baltimore,-0.519,136
"University of California, Berkeley",-1.155,12
"University of California, Davis",-0.812,36
"University of California, Los Angeles",-0.941,12
"University of California, Hastings",-1.125,64
University of Chicago,-0.833,4
University of Cincinnati,-0.226,77
University of Charleston,0.333,185
"University of Colorado, Boulder",-0.829,36
University of Connecticut,-0.654,64
University of Dayton,0.028,166
University of Denver,-0.769,64
University of Detroit,-0.364,136
University of Florida,-0.214,29
University of Georgia,-0.185,29
University of Hawaii,-0.593,102
University of Houston,-0.149,52
University of Idaho,0.212,115
University of Illinois,-0.865,36
University of Iowa,-0.688,43
University of Kansas,-0.391,77
University of Kentucky,0.039,92
University of La Verne,-0.428,
University of Louisville,-0.118,115
University of Maine,-1.013,102
University of Maryland,-0.768,64
University of Miami,-0.376,64
University of Michigan,-0.776,8
University of Minnesota,-0.907,24
University of Mississippi,0.406,92
University of Missouri,-0.197,77
"University of Missouri, Kansas City",-0.45,115
University of Montana,-0.63,92
University of Nebraska,-0.005,88
University of New Hampshire,-0.14,88
University of New Mexico,-0.853,115
"University of North Carolina, Chapel Hill",-0.391,43
"University of North Carolina, Greensboro",-0.552,
University of North Dakota,0.229,173
University of Oklahoma,0.062,77
University of Oregon,-1.047,77
University of Pennsylvania,-0.865,6
University of Pittsburgh,-0.386,77
University of Richmond,-0.482,43
University of San Diego,-0.256,58
University of South Carolina,0.171,92
University of South Dakota,0.061,157
University of Southern California,-0.851,19
University of St. Thomas,0.07,102
"University of Tennessee, Chattanooga",-0.443,
"University of Tennessee, Knoxville",-0.267,64
"University of Texas, Austin",-0.165,15
University of Toledo,-0.052,136
University of Toronto,-1.006,
University of Tulsa,-0.109,102
University of Utah,-0.487,58
University of Vermont,-0.758,148
University of Virginia,-0.719,8
University of Washington,-1.005,29
University of West Los Angeles,-0.451,
University of Wisconsin,-0.843,36
University of Wyoming,0.426,115
Valparaiso University,-0.183,199
Vanderbilt University,-0.556,15
Villanova University,-0.394,64
Wake Forest University,-0.349,36
Washburn University,-0.151,115
University of Washington,-0.806,29
Washington and Lee University,-0.401,29
Washington University in St. Louis,-0.738,12
Wayne State University,-0.311,64
West Virginia University,-0.204,115
Western New England,-0.62,173
Western State University,-0.308,173
Whittier College,-0.461,200
Widener University,-0.229,173
Willamette University,-0.571,136
William & Mary,-0.414,36
William Mitchell College of Law,-0.68,
William S. Boyd School of Law,-0.332,64
Yale University,-0.913,1
