District,Attorney,Date of Appointment,End Date,Barr Appointment
U.S. Attorney for the District of South Carolina,Sherri Lydon,05/24/2018,,No
U.S. Attorney for the District of South Carolina,Peter M. McCoy Jr.,03/30/2020(Interim - Awaiting Confirmation),,
U.S. Attorney for the District of South Dakota,Ron A. Parsons Jr.,01/05/2018,,No
U.S. Attorney for the E.D. of Tennessee,Doug Overbey,11/21/2017,,No
U.S. Attorney for the M.D. of Tennessee,Donald Q. Cochran,09/21/2017,,No
U.S. Attorney for the W.D. of Tennessee,D. Michael Dunavant,09/21/2017,,No
U.S. Attorney for the E.D. of Texas,Joseph D. Brown,02/26/2018,,No
U.S. Attorney for the N.D. of Texas,Erin Nealy Cox,11/17/2017,,No
U.S. Attorney for the S.D. of Texas,Ryan Patrick,01/08/2018,,No
U.S. Attorney for the W.D. of Texas,John Bash,12/11/2017,,No
U.S. Attorney for the District of Utah,John W. Huber,June 2015 (First Appointment),,No
U.S. Attorney for the District of Vermont,Christina E. Nolan,11/27/2017,,No
U.S. Attorney for the E.D. of Virginia,G. Zachary Terwillinger,05/25/2018(Interim),,No
U.S. Attorney for the W.D. of Virginia,Thomas T. Cullen,03/30/2018,,No
U.S. Attorney for the E.D. of Washington,William D. Hyslop,07/18/2019,,Yes
U.S. Attorney for the W.D. of Washington,Brian T. Moran,01/17/2019,,No
U.S. Attorney for the N.D. of West Virginia,William Powell,10/13/2017,,No
U.S. Attorney for the S.D. of West Virginia,Michael B. Stuart,01/09/2018,,No
U.S. Attorney for the E.D. of Wisconsin,Matthew Krueger,02/23/2018,,No
U.S. Attorney for the W.D. of Wisconsin,Scott Bladler,11/22/2017,,No
U.S. Attorney for the District of Wyoming,Mark Klassen,01/27/2017,,No
